procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
Lease to Own Registration,,ربدان,660333,Residential,1,110,60.0,71.33,تسجيل إيجارة تنتهى بالتملك,2025-09-22,,Rabdan,سكني,444,3,Dubai Internet City,1,9257.44,رهون,Mall of the Emirates,2.0,مدينة دبي للإنترنت,2.0,2.0,Mortgages,مول الإمارات,2-110-2025-661,غرفة,9257.44,Unit,Motor City,Sports City Swimming Academy,1 B/R,Al Hebiah First,وحدة,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,الحبيه الاولى,Existing Properties,Flat,,660333.0,العقارات القائمة,شقه سكنيه,موتور ستي
Sell - Pre registration,Elegance by Chaimaa Holding,اليجانس من شيماء القابضة,785345,Residential,0,102,60.0,71.37,بيع - تسجيل مبدئى,2025-09-22,أناقة بواسطة  هولدنغ  شيماء هولدنغ,Elegance by Chaimaa Holding,سكني,441,3,Nakheel Metro Station,1,11003.85,مبايعات,Marina Mall,0.0,محطة مترو النخيل,2.0,1.0,Sales,مارينا مول,1-102-2025-91819,غرفة,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,1 B/R,Al Barsha South Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Off-Plan Properties,Flat,2515.0,,على الخارطة,شقه سكنيه,قرية جميرا الدائرية
Sell - Pre registration,Binghatti Hillviews,بن غاطي ??ل ف?وز,853000,Residential,0,102,60.0,39.61,بيع - تسجيل مبدئى,2025-09-24,بن غاطي هيل فيوز,Binghatti Hillviews,سكني,414,3,First Abu Dhabi Bank Metro Station,1,21534.97,مبايعات,Mall of the Emirates,0.0,محطة مترو بنك أبوظبي الأول,1.0,1.0,Sales,مول الإمارات,1-102-2025-93084,استوديو,,Unit,Dubai Science Park,Motor City,Studio,Al Barshaa South Second,وحدة,1,2026-03-26 10:08:27,موتور سيتي,البرشاء جنوب الثانية,Off-Plan Properties,Flat,3321.0,,على الخارطة,شقه سكنيه,حديقة دبي للعلوم
Sell - Pre registration,Binghatti Circle ,بن غاطي سيركل,1210168,Residential,0,102,60.0,70.81,بيع - تسجيل مبدئى,2025-10-02,بن غاطي سيركل,Binghatti Circle,سكني,441,3,Dubai Internet City,1,17090.37,مبايعات,Marina Mall,0.0,مدينة دبي للإنترنت,1.0,1.0,Sales,مارينا مول,1-102-2025-98232,غرفة,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,1 B/R,Al Barsha South Fourth,وحدة,1,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Off-Plan Properties,Flat,3819.0,,على الخارطة,شقه سكنيه,قرية جميرا الدائرية
Sell,PRIME RESIDENCY2,بريم يزيدنس 2,480000,Residential,1,11,60.0,59.64,بيع,2025-10-02,برايم ريزدنسي 2,Prime Residence 2,سكني,343,3,Rashidiya Metro Station,1,8048.29,مبايعات,City Centre Mirdif,0.0,محطة مترو الراشدية,1.0,1.0,Sales,سيتي سنتر مردف,1-11-2025-40794,غرفة,,Unit,International City Phase 1,,1 B/R,Al Warsan First,وحدة,1,2026-03-26 10:08:27,,ورسان الاولى,Existing Properties,Flat,232.0,,العقارات القائمة,شقه سكنيه,المدينة العالمية - المرحلة الاولى
Sell - Pre registration,Eden House The Park,ايدن هاوس ذا بارك ايه,4793741,Residential,0,102,60.0,127.94,بيع - تسجيل مبدئى,2025-10-06,ايدن هاوس ذا بارك,Eden House - The Park A,سكني,364,3,,1,37468.67,مبايعات,,0.0,,1.0,1.0,Sales,,1-102-2025-96269,غرفتين,,Unit,Dubai Water Canal,,2 B/R,Al Wasl,وحدة,1,2026-03-26 10:08:27,,الوصل,Off-Plan Properties,Flat,3382.0,,على الخارطة,شقه سكنيه,قناة دبي المائية
Sell - Pre registration,Reportage Village 1 ,,1361358,Residential,0,102,4.0,88.0,بيع - تسجيل مبدئى,2025-10-06,ريبورتاج فيلدج 1,,سكني,463,4,,0,15469.98,مبايعات,,0.0,,1.0,1.0,Sales,,1-102-2025-99299,غرفتين,,Villa,,Hamdan Sports Complex,2 B/R,Wadi Al Safa 7,فيلا,1,2026-03-26 10:08:27,مجمع حمدان الرياضي,وادي الصفا 7,Off-Plan Properties,Villa,2784.0,,على الخارطة,فيلا,
Sell - Pre registration,DAMAC RIVERSIDE VIEWS - CAPRI 1 ,داماك ريفيرسايد فيوز - كابري 1 - بي,2054000,Residential,0,102,60.0,137.54,بيع - تسجيل مبدئى,2025-10-07,داماك ريفرسايد فيوز - كابري 1,DAMAC Riverside Views - Capri 1 -B,سكني,459,3,,1,14933.84,مبايعات,,0.0,,1.0,1.0,Sales,,1-102-2025-99532,غرفتين,,Unit,,,2 B/R,Dubai Investment Park Second,وحدة,1,2026-03-26 10:08:27,,مجمع دبي للاستثمار الثاني,Off-Plan Properties,Flat,3663.0,,على الخارطة,شقه سكنيه,
Sell - Pre registration,Binghatti Skyblade,بن غاطي سكاي بليد,1799999,Residential,0,102,60.0,35.82,بيع - تسجيل مبدئى,2025-10-07,بن غاطي سكاي بليد,Binghatti Skyblade,سكني,390,3,Business Bay Metro Station,1,50251.23,مبايعات,Dubai Mall,0.0,محطة مترو الخليج التجاري,1.0,1.0,Sales,مول دبي,1-102-2025-99894,استوديو,,Unit,DownTown Dubai,Downtown Dubai,Studio,Burj Khalifa,وحدة,1,2026-03-26 10:08:27,وسط مدينة دبي,برج خليفة,Off-Plan Properties,Flat,3725.0,,على الخارطة,شقه سكنيه,داون تاون دبي
Mortgage Registration,PLAZA RESIDENCES,بلازا ريزيدنس 2,1088000,Residential,1,13,60.0,127.02,تسجيل رهن,2025-10-09,البلازا ريزيدنس,Plaza Residences 2,سكني,441,3,Nakheel Metro Station,1,8565.58,رهون,Marina Mall,0.0,محطة مترو النخيل,1.0,1.0,Mortgages,مارينا مول,2-13-2025-29217,غرفتين,,Unit,Jumeirah Village Circle,Sports City Swimming Academy,2 B/R,Al Barsha South Fourth,وحدة,2,2026-03-26 10:08:27,أكاديمية المدينة الرياضية للسباحة,البرشاء جنوب الرابعة,Existing Properties,Flat,288.0,,العقارات القائمة,شقه سكنيه,قرية جميرا الدائرية
